 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Reff
   89   4.232140 4404.9  1.4179400E+05  3.5647  1.95098890E-001 0.00000000E+000   0.000E+000  0.0000E+000
   90   4.218325 4403.8  1.4244500E+05  3.5604  1.95098890E-001 0.00000000E+000   0.000E+000  0.0000E+000
   91   4.204555 4402.7  1.4308700E+05  3.5561  1.95098890E-001 0.00000000E+000   0.000E+000  0.0000E+000
   92   4.191023 4401.6  1.4371900E+05  3.5518  1.95098890E-001 0.00000000E+000   0.000E+000  0.0000E+000
   93   4.177630 4400.5  1.4434200E+05  3.5489  1.95187240E-001 0.00000000E+000   0.000E+000  0.0000E+000
   94   4.164377 4399.4  1.4495700E+05  3.5446  1.95187240E-001 0.00000000E+000   0.000E+000  0.0000E+000
   95   4.151261 4398.3  1.4556300E+05  3.5403  1.95187240E-001 0.00000000E+000   0.000E+000  0.0000E+000
   96   4.138281 4397.1  1.4616000E+05  3.5374  1.95187240E-001 0.00000000E+000   0.000E+000  0.0000E+000
   97   4.125437 4396.1  1.4674900E+05  3.5331  1.95187240E-001 0.00000000E+000   0.000E+000  0.0000E+000
   98   4.112728 4395.0  1.4732900E+05  3.5288  1.95187240E-001 0.00000000E+000   0.000E+000  0.0000E+000
   99   4.100247 4394.0  1.4790200E+05  3.5259  1.95187240E-001 0.00000000E+000   0.000E+000  0.0000E+000
  100   4.087803 4392.9  1.4846700E+05  3.5216  1.95275610E-001 0.00000000E+000   0.000E+000  0.0000E+000
  101   4.075492 4391.9  1.4902500E+05  3.5187  1.95275610E-001 0.00000000E+000   0.000E+000  0.0000E+000
  102   4.063310 4390.9  1.4957500E+05  3.5144  1.95275610E-001 0.00000000E+000   0.000E+000  0.0000E+000
  103   4.051259 4389.9  1.5011800E+05  3.5115  1.95275610E-001 0.00000000E+000   0.000E+000  0.0000E+000
  104   4.039336 4388.7  1.5065300E+05  3.5072  1.95275610E-001 0.00000000E+000   0.000E+000  0.0000E+000
  105   4.027541 4387.7  1.5118200E+05  3.5044  1.95275610E-001 0.00000000E+000   0.000E+000  0.0000E+000
  106   4.015873 4386.7  1.5170400E+05  3.5001  1.95364000E-001 0.00000000E+000   0.000E+000  0.0000E+000
  107   4.004331 4385.8  1.5221900E+05  3.4972  1.95364000E-001 0.00000000E+000   0.000E+000  0.0000E+000
  108   3.992914 4384.8  1.5272800E+05  3.4943  1.95364000E-001 0.00000000E+000   0.000E+000  0.0000E+000
  109   3.981622 4383.8  1.5323000E+05  3.4900  1.95364000E-001 0.00000000E+000   0.000E+000  0.0000E+000
  110   3.970452 4382.8  1.5372600E+05  3.4871  1.95364000E-001 0.00000000E+000   0.000E+000  0.0000E+000
  111   3.959406 4381.9  1.5421500E+05  3.4842  1.95364000E-001 0.00000000E+000   0.000E+000  0.0000E+000
  112   3.948481 4380.9  1.5469900E+05  3.4799  1.95364000E-001 0.00000000E+000   0.000E+000  0.0000E+000
  113   3.937676 4380.0  1.5517700E+05  3.4771  1.95452410E-001 0.00000000E+000   0.000E+000  0.0000E+000
  114   3.926992 4379.0  1.5564900E+05  3.4742  1.95452410E-001 0.00000000E+000   0.000E+000  0.0000E+000
  115   3.916336 4378.0  1.5611500E+05  3.4713  1.95452410E-001 0.00000000E+000   0.000E+000  0.0000E+000
  116   3.905890 4377.1  1.5657600E+05  3.4670  1.95452410E-001 0.00000000E+000   0.000E+000  0.0000E+000
  117   3.895471 4376.2  1.5703200E+05  3.4641  1.95452410E-001 0.00000000E+000   0.000E+000  0.0000E+000
  118   3.885170 4375.3  1.5748200E+05  3.4613  1.95452410E-001 0.00000000E+000   0.000E+000  0.0000E+000
  119   3.875074 4374.4  1.5792600E+05  3.4584  1.95452410E-001 0.00000000E+000   0.000E+000  0.0000E+000
  120   3.865004 4373.5  1.5836600E+05  3.4555  1.95452410E-001 0.00000000E+000   0.000E+000  0.0000E+000
  121   3.855050 4372.6  1.5880100E+05  3.4526  1.95540840E-001 0.00000000E+000   0.000E+000  0.0000E+000
  122   3.845298 4371.7  1.5923100E+05  3.4498  1.95540840E-001 0.00000000E+000   0.000E+000  0.0000E+000
  123   3.835482 4370.8  1.5965600E+05  3.4455  1.95540840E-001 0.00000000E+000   0.000E+000  0.0000E+000
  124   3.825868 4369.9  1.6007600E+05  3.4426  1.95540840E-001 0.00000000E+000   0.000E+000  0.0000E+000
  125   3.816366 4369.1  1.6049100E+05  3.4397  1.95540840E-001 0.00000000E+000   0.000E+000  0.0000E+000
  126   3.806887 4368.2  1.6090200E+05  3.4368  1.95540840E-001 0.00000000E+000   0.000E+000  0.0000E+000
  127   3.797519 4367.4  1.6130900E+05  3.4340  1.95540840E-001 0.00000000E+000   0.000E+000  0.0000E+000
  128   3.788349 4366.5  1.6171100E+05  3.4311  1.95540840E-001 0.00000000E+000   0.000E+000  0.0000E+000
  129   3.779201 4365.7  1.6210900E+05  3.4282  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  130   3.770075 4364.9  1.6250300E+05  3.4253  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  131   3.761144 4364.0  1.6289200E+05  3.4239  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  132   3.752235 4363.1  1.6327700E+05  3.4210  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  133   3.743519 4362.3  1.6365900E+05  3.4182  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  134   3.734823 4361.5  1.6403600E+05  3.4153  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  135   3.726233 4360.7  1.6441000E+05  3.4124  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  136   3.717748 4359.9  1.6478000E+05  3.4095  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  137   3.709283 4359.1  1.6514600E+05  3.4067  1.95629290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  138   3.700923 4358.3  1.6550900E+05  3.4052  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  139   3.692666 4357.6  1.6586800E+05  3.4023  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  140   3.684512 4356.8  1.6622400E+05  3.3995  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  141   3.676461 4356.0  1.6657600E+05  3.3966  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  142   3.668428 4355.3  1.6692500E+05  3.3937  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  143   3.660497 4354.5  1.6727000E+05  3.3923  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  144   3.652666 4353.8  1.6761200E+05  3.3894  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  145   3.644937 4353.0  1.6795100E+05  3.3865  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  146   3.637224 4352.3  1.6828700E+05  3.3851  1.95717760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  147   3.629610 4351.6  1.6862000E+05  3.3822  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  148   3.622096 4350.8  1.6894900E+05  3.3794  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  149   3.614598 4350.1  1.6927600E+05  3.3779  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  150   3.607198 4349.4  1.6960000E+05  3.3750  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  151   3.599896 4348.7  1.6992100E+05  3.3722  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  152   3.592692 4348.0  1.7023900E+05  3.3707  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  153   3.585502 4347.3  1.7055600E+05  3.3679  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  154   3.578244 4346.6  1.7087300E+05  3.3664  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  155   3.571083 4345.9  1.7118900E+05  3.3636  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  156   3.563855 4345.2  1.7150600E+05  3.3607  1.95806250E-001 0.00000000E+000   0.000E+000  0.0000E+000
  157   3.556723 4344.5  1.7182300E+05  3.3592  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  158   3.549523 4343.8  1.7214000E+05  3.3564  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  159   3.542420 4343.1  1.7245700E+05  3.3549  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  160   3.535249 4342.4  1.7277400E+05  3.3521  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  161   3.528093 4341.7  1.7309100E+05  3.3492  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  162   3.521032 4340.9  1.7340800E+05  3.3477  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  163   3.513905 4340.2  1.7372400E+05  3.3449  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  164   3.506792 4339.5  1.7404100E+05  3.3434  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  165   3.499693 4338.8  1.7435800E+05  3.3406  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  166   3.492609 4338.1  1.7467500E+05  3.3377  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  167   3.485539 4337.4  1.7499200E+05  3.3363  1.95894760E-001 0.00000000E+000   0.000E+000  0.0000E+000
  168   3.478484 4336.7  1.7530900E+05  3.3334  1.95983290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  169   3.471443 4336.0  1.7562600E+05  3.3319  1.95983290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  170   3.464416 4335.3  1.7594300E+05  3.3291  1.95983290E-001 0.00000000E+000   0.000E+000  0.0000E+000
  171   3.457483 4334.6  1.7625900E+05  3.3262  1.95983290E-001 0.00000000E+000   0.000E+000  0.0000E+000
